UUT_SERIAL_NUMBER,DATA,STATUS,ID1
ser,0.035,Passed,275
TBB404,0.036,Passed,1418
test7,0.036,Passed,2183
123test7,0.039,Passed,4528
ser,0.035,Passed,7917
123test10,0.041,Passed,9143
TCB180,0.038,Passed,9464
TBB336,0.042,Passed,11219
123,0.036,Passed,12006
TAB094,0.044,Passed,12083
test2,0.037,Passed,12324
RPA325,0.034,Passed,15517
test4,0.036,Passed,15927
TBA199,0.04,Passed,16540
123,0.039,Passed,19126
TBA195,0.035,Passed,24060
TBB330,0.042,Passed,24423
testccs,0.037,Passed,25323
test5,0.039,Passed,25987
test,0.035,Passed,27248
RLB187,0.039,Passed,33583
TAB095,0.037,Passed,34540
TBA196,0.038,Passed,34671
TAB102,0.035,Passed,35382
TBA201,0.04,Passed,39904
123test8,0.038,Passed,40375
TBA200,0.038,Passed,41733
TBB327,0.033,Passed,42156
TBB332,0.045,Passed,42509
SER,0.037,Passed,42907
ser,0.036,Passed,43179
RPA326,0.039,Passed,43230
TAB099,0.037,Passed,43331
123,0.038,Passed,44280
TBA198,0.046,Passed,46919
TBB333,0.032,Passed,46995
ser,0.037,Passed,48512
12,0.035,Passed,51495
RPA329,0.037,Passed,53027
TBA139,0.032,Passed,54357
ser,,Failed,55708
TBB409,0.047,Passed,55955
123test2,0.04,Passed,56021
TCB181,0.038,Passed,56114
abc,0.036,Passed,57163
TBB335,0.04,Passed,60262
ser,0.037,Passed,61552
TAB097,,Failed,62053
TAB097,0.032,Passed,62105
TCB180,0.035,Passed,62357
test6,0.037,Passed,64235
